model,nsims,tpb,mem,cupsodatime,pythontime,rtol,atol,mxsteps,t_end,n_steps,deterministic,vol,card
earm,10,16,2,8.440322,8.62729501724,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-mule
earm,100,16,2,9.19269,9.51618409157,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-mule
earm,1000,16,2,12.640646,14.4828150272,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-mule
earm,10000,16,2,106.925186,123.924906969,1e-06,1e-06,100,20000,20000.0,1,0,gtx980-mule
ras,10,16,2,3.15483403206,3.17245101929,1e-06,1e-06,100,20000,1500.0,1,1e-19,gtx980-mule
ras,100,16,2,3.31459307671,3.44312310219,1e-06,1e-06,100,20000,1500.0,1,1e-19,gtx980-mule
ras,1000,16,2,5.07651782036,6.31096792221,1e-06,1e-06,100,20000,1500.0,1,1e-19,gtx980-mule
ras,10000,16,2,42.8515679836,55.3695521355,1e-06,1e-06,100,20000,1500.0,1,1e-19,gtx980-mule
tyson,10,16,2,0.231323957443,0.238517045975,1e-06,1e-06,100,20000,100.0,1,1e-19,gtx980-mule
tyson,100,16,2,0.251965045929,0.293950796127,1e-06,1e-06,100,20000,100.0,1,1e-19,gtx980-mule
tyson,1000,16,2,0.42054104805,0.810179948807,1e-06,1e-06,100,20000,100.0,1,1e-19,gtx980-mule
tyson,10000,16,2,2.67260098457,6.58732485771,1e-06,1e-06,100,20000,100.0,1,1e-19,gtx980-mule
tyson,100000,16,2,25.1331279278,64.1283071041,1e-06,1e-06,100,20000,100.0,1,1e-19,gtx980-mule
earm,10,16,2,3.52938508987,3.57454681396,1e-06,1e-06,100,20000,20000.0,1,1.661e-19,gtx980-diablo
earm,100,16,2,3.70560288429,3.98029112816,1e-06,1e-06,100,20000,20000.0,1,1.661e-19,gtx980-diablo
earm,1000,16,2,4.6755759716,6.4057199955,1e-06,1e-06,100,20000,20000.0,1,1.661e-19,gtx980-diablo
earm,10000,16,2,28.295789957,45.2283248901,1e-06,1e-06,100,20000,20000.0,1,1.661e-19,gtx980-diablo
ras,10,16,2,3.39902687073,3.45933413506,1e-06,1e-06,100,20000,1500.0,1,1e-19,gtx980-diablo
ras,100,16,2,3.560546875,3.77914810181,1e-06,1e-06,100,20000,1500.0,1,1e-19,gtx980-diablo
ras,1000,16,2,5.04221701622,6.89302778244,1e-06,1e-06,100,20000,1500.0,1,1e-19,gtx980-diablo
ras,10000,16,2,32.4951550961,50.5506830215,1e-06,1e-06,100,20000,1500.0,1,1e-19,gtx980-diablo
ras,100000,16,2,314.790583134,500.490301847,1e-06,1e-06,100,20000,1500.0,1,1e-19,gtx980-diablo
tyson,10,16,2,0.278455972672,0.300401926041,1e-06,1e-06,100,20000,100.0,1,1e-19,gtx980-diablo
tyson,100,16,2,0.282575130463,0.405982971191,1e-06,1e-06,100,20000,100.0,1,1e-19,gtx980-diablo
tyson,1000,16,2,0.518464803696,1.14076304436,1e-06,1e-06,100,20000,100.0,1,1e-19,gtx980-diablo
tyson,10000,16,2,3.11741399765,8.89118599892,1e-06,1e-06,100,20000,100.0,1,1e-19,gtx980-diablo
tyson,100000,16,2,29.6376011372,94.2338340282,1e-06,1e-06,100,20000,100.0,1,1e-19,gtx980-diablo
earm,10,16,2,16.5273900032,16.5605888367,1e-06,1e-06,100,20000,20000.0,1,0,gtx760-lolab
earm,100,16,2,23.5828678608,23.7834877968,1e-06,1e-06,100,20000,20000.0,1,0,gtx760-lolab
earm,1000,16,2,72.5692470074,74.5101599693,1e-06,1e-06,100,20000,20000.0,1,0,gtx760-lolab
ras,10,16,2,13.5854918957,13.6144981384,1e-06,1e-06,100,20000,1500.0,1,0,gtx760-lolab
ras,100,16,2,19.5908489227,19.8008360863,1e-06,1e-06,100,20000,1500.0,1,0,gtx760-lolab
ras,1000,16,2,42.6105890274,44.5748438835,1e-06,1e-06,100,20000,1500.0,1,0,gtx760-lolab
tyson,10,16,2,0.471501111984,0.484872817993,1e-06,1e-06,100,20000,100.0,1,0,gtx760-lolab
tyson,100,16,2,0.616738080978,0.694499969482,1e-06,1e-06,100,20000,100.0,1,0,gtx760-lolab
tyson,1000,16,2,0.988405942917,1.710064888,1e-06,1e-06,100,20000,100.0,1,0,gtx760-lolab
tyson,10000,16,2,8.67373418808,16.0100500584,1e-06,1e-06,100,20000,100.0,1,0,gtx760-lolab
tyson,10,16,2,0.452980041504,0.467028141022,1e-06,1e-06,100,20000,100.0,1,1e-19,K20c-puma
tyson,100,16,2,0.513194084167,0.749359130859,1e-06,1e-06,100,20000,100.0,1,1e-19,K20c-puma
tyson,1000,16,2,0.814181089401,1.68363904953,1e-06,1e-06,100,20000,100.0,1,1e-19,K20c-puma
tyson,10000,16,2,4.18613409996,11.4133741856,1e-06,1e-06,100,20000,100.0,1,1e-19,K20c-puma
tyson,100000,16,2,37.4901771545,108.853121996,1e-06,1e-06,100,20000,100.0,1,1e-19,K20c-puma
ras,10,16,2,6.82912397385,6.87985301018,1e-06,1e-06,100,20000,1500.0,1,1e-19,K20c-puma
ras,100,16,2,8.39418983459,8.71967411041,1e-06,1e-06,100,20000,1500.0,1,1e-19,K20c-puma
ras,1000,16,2,10.7832789421,13.0111918449,1e-06,1e-06,100,20000,1500.0,1,1e-19,K20c-puma
ras,10000,16,2,66.3969140053,86.8642039299,1e-06,1e-06,100,20000,1500.0,1,1e-19,K20c-puma
ras,100000,16,2,614.077071905,816.652480841,1e-06,1e-06,100,20000,1500.0,1,1e-19,K20c-puma
earm,10,16,2,9.99951004982,10.0360610485,1e-06,1e-06,100,20000,20000.0,1,1.661e-20,K20c-puma
earm,100,16,2,12.3662798405,12.7427408695,1e-06,1e-06,100,20000,20000.0,1,1.661e-20,K20c-puma
earm,1000,16,2,25.6120891571,27.623996973,1e-06,1e-06,100,20000,20000.0,1,1.661e-20,K20c-puma
earm,10000,16,2,168.150346041,188.147484064,1e-06,1e-06,100,20000,20000.0,1,1.661e-20,K20c-puma


