model,nsims,tpb,mem,cupsodatime,cupsoda_io_time,pythontime,rtol,atol,mxsteps,t_end,n_steps,vol,card
#tyson,10,16,0,0.113895,0.326051950455,0.348328113556,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
#tyson,100,16,0,0.110158,0.406667947769,0.538900136948,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
#tyson,1000,16,0,0.10153,0.693322896957,1.22423696518,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
#tyson,10000,16,0,0.481497,3.61850810051,7.50318193436,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
#tyson,100000,16,0,4.415336,33.3972001076,73.7709579468,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
#tyson,10,16,1,0.106035,0.351189851761,0.367995977402,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
#tyson,100,16,1,0.100575,0.433658123016,0.556051969528,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
#tyson,1000,16,1,0.102604,0.710808992386,1.2175359726,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
#tyson,10000,16,1,0.443067,3.62140488625,7.55745482445,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
#tyson,100000,16,1,4.018519,32.9583108425,72.1877360344,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
#tyson,10,16,2,0.098733,0.354249000549,0.379979133606,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
#tyson,100,16,2,0.102371,0.404313087463,0.566859960556,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
#tyson,1000,16,2,0.095076,0.704110145569,1.21356701851,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
#tyson,10000,16,2,0.419088,3.58854007721,7.60289001465,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
#tyson,100000,16,2,3.865009,33.7172720432,72.3924601078,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
#earm,10,16,0,5.13764,5.41292905807,5.48140501976,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
#earm,100,16,0,5.440378,5.77800893784,6.06500983238,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
#earm,1000,16,0,6.136267,6.99461984634,8.48514103889,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
#earm,10000,16,0,33.842999,39.3892350197,52.8456499577,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
#earm,10,16,1,4.092853,4.35616993904,4.4072239399,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
#earm,100,16,1,4.328512,4.68681287766,4.99739003181,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
#earm,1000,16,1,4.887641,5.75417518616,7.20676398277,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
#earm,10000,16,1,27.062874,32.7051210403,46.1352310181,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
#earm,10,16,2,3.523582,3.78152799606,3.83460211754,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
#earm,100,16,2,3.708688,4.06097197533,4.34821486473,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
#earm,1000,16,2,4.255095,5.11840295792,6.5616350174,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
#earm,10000,16,2,24.530918,30.195305109,43.7664999962,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
#ras,10,16,0,4.136238,4.42622804642,4.50343704224,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
#ras,100,16,0,4.255886,4.73635196686,5.02172207832,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
#ras,1000,16,0,4.660463,6.41007685661,8.00916099548,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
#ras,10000,16,0,23.723053,38.6685709953,53.1222159863,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
#ras,100000,16,0,224.203033,371.869079828,515.559521914,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
#ras,10,16,1,3.330212,3.66477394104,3.74844908714,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
#ras,100,16,1,3.397608,3.90601396561,4.20314097404,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
#ras,1000,16,1,3.773139,5.59395885468,7.21112513542,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
#ras,10000,16,1,19.803684,34.72574687,48.9744551182,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
#ras,100000,16,1,181.860855,328.6532619,472.188742876,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
#ras,10,16,2,2.920687,3.28518915176,3.37211608887,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
#ras,100,16,2,2.981765,3.53973197937,3.82168602943,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
#ras,1000,16,2,3.333094,5.21296596527,6.73046517372,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
#ras,10000,16,2,18.04323,32.9160149097,47.2816159725,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti
#ras,100000,16,2,167.286514,314.878913164,457.905255079,1e-06,1e-06,100,20000,1500.0,1e-19,gtx-980-ti

#tyson,10,16,0,0.11394,0.303539991379,0.321910142899,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
#tyson,100,16,0,0.110239,0.415192842484,0.55398607254,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
#tyson,1000,16,0,0.101528,0.723156929016,1.23172497749,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
#tyson,10000,16,0,0.482778,3.60836696625,7.52778816223,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
#tyson,100000,16,0,4.421622,34.0135931969,73.7643780708,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
#tyson,10,16,1,0.106007,0.359954118729,0.385638952255,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
#tyson,100,16,1,0.100712,0.402522087097,0.572242021561,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
#tyson,1000,16,1,0.091616,0.683547973633,1.24486494064,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
#tyson,10000,16,1,0.441616,3.63873410225,7.56456708908,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
#tyson,100000,16,1,4.014735,33.5230679512,72.4540801048,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
#tyson,10,16,2,0.09845,0.354681968689,0.379568099976,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
#tyson,100,16,2,0.102458,0.438043117523,0.592283010483,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
#tyson,1000,16,2,0.094901,0.712182998657,1.26584196091,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
#tyson,10000,16,2,0.420454,3.57867407799,7.77184295654,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
#tyson,100000,16,2,3.867805,32.9318270683,72.5813999176,1e-06,1e-06,100,20000,100.0,1e-19,gtx-980-ti
#earm,10,16,0,5.132325,5.40234088898,5.45568609238,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
#earm,100,16,0,5.44295,5.80611491203,6.10976004601,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
#earm,1000,16,0,6.133512,7.04081702232,8.60184597969,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
#earm,10000,16,0,33.83519,39.4794259071,53.3036248684,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
#earm,10,16,1,4.099045,4.35641098022,4.40417814255,1e-06,1e-06,100,20000,20000.0,1.661e-19,gtx-980-ti
