model,nsims,scipytime,rtol,atol,mxsteps,t_end,n_steps,cpu,GHz,num_cpu
tyson,10,0.0713930130005,1e-06,1e-06,20000,100.0,100,diablo,3.40,1
tyson,100,0.703783988953,1e-06,1e-06,20000,100.0,100,diablo,3.40,1
tyson,1000,6.60820484161,1e-06,1e-06,20000,100.0,100,diablo,3.40,1
tyson,10000,65.6400220394,1e-06,1e-06,20000,100.0,100,diablo,3.40,1
tyson,100000,671.777458191,1e-06,1e-06,20000,100.0,100,diablo,3.40,1
ras,10,0.806133031845,1e-06,1e-06,20000,1500.0,100,diablo,3.40,1
ras,100,7.95855593681,1e-06,1e-06,20000,1500.0,100,diablo,3.40,1
ras,1000,78.7062089443,1e-06,1e-06,20000,1500.0,100,diablo,3.40,1
ras,10000,786.095093966,1e-06,1e-06,20000,1500.0,100,diablo,3.40,1
ras,100000,7804.02878094,1e-06,1e-06,20000,1500.0,100,diablo,3.40,1
earm,10,0.828658103943,1e-06,1e-06,20000,20000.0,100,diablo,3.40,1
earm,100,9.06026387215,1e-06,1e-06,20000,20000.0,100,diablo,3.40,1
earm,1000,81.1535720825,1e-06,1e-06,20000,20000.0,100,diablo,3.40,1
earm,10000,811.155158043,1e-06,1e-06,20000,20000.0,100,diablo,3.40,1
